Gender,Cancer,Stage,Age group,No
Male,Lung,Stage IV,80+ years,612.5545521859
Male,Lymphoid neoplasms,Stage NA,0-29 years,266.0
Male,Lymphoid neoplasms,Stage NA,30-39 years,108.0
Male,Lymphoid neoplasms,Stage NA,40-49 years,213.0
Male,Lymphoid neoplasms,Stage NA,50-59 years,403.0
Male,Lymphoid neoplasms,Stage NA,60-69 years,611.0
Male,Lymphoid neoplasms,Stage NA,70-79 years,511.0
Male,Lymphoid neoplasms,Stage NA,80+ years,246.0
Male,Myeloid neoplasms,Stage NA,0-29 years,65.0
Male,Myeloid neoplasms,Stage NA,30-39 years,58.0
Male,Myeloid neoplasms,Stage NA,40-49 years,100.0
Male,Myeloid neoplasms,Stage NA,50-59 years,222.0
Male,Myeloid neoplasms,Stage NA,60-69 years,308.0
Male,Myeloid neoplasms,Stage NA,70-79 years,297.0
Male,Myeloid neoplasms,Stage NA,80+ years,182.0
Male,Non-melanoma skin,Stage NA,30-39 years,45.18301982714794
Male,Non-melanoma skin,Stage NA,40-49 years,159.64667005592273
Male,Non-melanoma skin,Stage NA,50-59 years,289.1713268937468
Male,Non-melanoma skin,Stage NA,60-69 years,470.9074733096086
Male,Non-melanoma skin,Stage NA,70-79 years,509.06202338586684
Male,Non-melanoma skin,Stage NA,80+ years,501.02948652770715
Male,Other,Stage I,0-29 years,64.78955803988941
Male,Other,Stage I,30-39 years,65.82737704739337
Male,Other,Stage I,40-49 years,121.12830416153238
Male,Other,Stage I,50-59 years,250.85568009952607
Male,Other,Stage I,60-69 years,290.88584181753555
Male,Other,Stage I,70-79 years,197.63039100039495
Male,Other,Stage I,80+ years,135.06473083372828
Male,Other,Stage II,0-29 years,55.10190144826225
Male,Other,Stage II,30-39 years,55.98454060189574
Male,Other,Stage II,40-49 years,103.01659835979463
Male,Other,Stage II,50-59 years,213.34649256398103
Male,Other,Stage II,60-69 years,247.39114563270144
Male,Other,Stage II,70-79 years,168.07971311334913
Male,Other,Stage II,80+ years,114.86918128001581
Male,Other,Stage III,0-29 years,81.82392452843602
Male,Other,Stage III,30-39 years,83.13460524170617
Male,Other,Stage III,40-49 years,152.97516324881516
Male,Other,Stage III,50-59 years,316.81025240758294
Male,Other,Stage III,60-69 years,367.3650799194313
Male,Other,Stage III,70-79 years,249.59105582701423
Male,Other,Stage III,80+ years,170.57573282701424
Male,Other,Stage IV,0-29 years,127.09338028528174
Male,Other,Stage IV,30-39 years,129.12920102211692
Male,Other,Stage IV,40-49 years,237.60936314204847
Male,Other,Stage IV,50-59 years,492.08695524644554
Male,Other,Stage IV,60-69 years,570.6114693815166
Male,Other,Stage IV,70-79 years,387.67843460018435
Male,Other,Stage IV,80+ years,264.94752732240653
Male,Other,Stage NA,0-29 years,77.70018777817272
Male,Other,Stage NA,30-39 years,78.94481321169037
Male,Other,Stage NA,40-49 years,145.26556845484467
Male,Other,Stage NA,50-59 years,300.84374764454975
Male,Other,Stage NA,60-69 years,348.85072865165876
Male,Other,Stage NA,70-79 years,237.01224326843075
Male,Other,Stage NA,80+ years,161.97910999065297
Male,Pancreas,Stage I,60-69 years,19.11625
Male,Pancreas,Stage I,70-79 years,18.470066901408448
Male,Pancreas,Stage I,80+ years,8.29268309859155
Male,Pancreas,Stage II,60-69 years,51.2875
Male,Pancreas,Stage II,70-79 years,49.55383802816901
Male,Pancreas,Stage II,80+ years,22.248661971830987
Male,Pancreas,Stage III,60-69 years,57.34875
Male,Pancreas,Stage III,70-79 years,55.41020070422535
Male,Pancreas,Stage III,80+ years,24.878049295774648
Male,Pancreas,Stage IV,60-69 years,338.4975
